year,sex,level_of_school,academic_qualification,number_of_vice_principals
2000,F,PRIMARY,MASTERS DEGREE,10
2000,MF,SECONDARY,MASTERS DEGREE,28
2000,F,SECONDARY,MASTERS DEGREE,20
2000,MF,PRE-UNIVERSITY,MASTERS DEGREE,5
2000,F,PRE-UNIVERSITY,MASTERS DEGREE,3
2000,MF,PRIMARY,PHD,0
2000,F,PRIMARY,PHD,0
2000,MF,SECONDARY,PHD,0
2000,F,SECONDARY,PHD,0
2000,MF,PRE-UNIVERSITY,PHD,0
2000,F,PRE-UNIVERSITY,PHD,0
2001,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,84
2001,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,55
2001,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2001,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,MF,PRIMARY,PASS DEGREE,46
2001,F,PRIMARY,PASS DEGREE,34
2001,MF,SECONDARY,PASS DEGREE,61
2001,F,SECONDARY,PASS DEGREE,41
2001,MF,PRE-UNIVERSITY,PASS DEGREE,0
2001,F,PRE-UNIVERSITY,PASS DEGREE,0
2001,MF,PRIMARY,HONOURS DEGREE,15
2001,F,PRIMARY,HONOURS DEGREE,14
2001,MF,SECONDARY,HONOURS DEGREE,50
2001,F,SECONDARY,HONOURS DEGREE,31
2001,MF,PRE-UNIVERSITY,HONOURS DEGREE,7
2001,F,PRE-UNIVERSITY,HONOURS DEGREE,5
2001,MF,PRIMARY,MASTERS DEGREE,16
2001,F,PRIMARY,MASTERS DEGREE,13
2001,MF,SECONDARY,MASTERS DEGREE,35
2001,F,SECONDARY,MASTERS DEGREE,25
2001,MF,PRE-UNIVERSITY,MASTERS DEGREE,9
2001,F,PRE-UNIVERSITY,MASTERS DEGREE,5
2001,MF,PRIMARY,PHD,0
2001,F,PRIMARY,PHD,0
