year,sex,level_of_school,age,no_of_vice_principals
2005,MF,PRE-UNIVERSITY,40 - 44,5
2005,F,PRE-UNIVERSITY,40 - 44,3
2005,MF,PRIMARY,45 - 49,54
2005,F,PRIMARY,45 - 49,42
2005,MF,SECONDARY,45 - 49,40
2005,F,SECONDARY,45 - 49,28
2005,MF,PRE-UNIVERSITY,45 - 49,4
2005,F,PRE-UNIVERSITY,45 - 49,2
2005,MF,PRIMARY,50 - 54,9
2005,F,PRIMARY,50 - 54,9
2005,MF,SECONDARY,50 - 54,25
2005,F,SECONDARY,50 - 54,18
2005,MF,PRE-UNIVERSITY,50 - 54,2
2005,F,PRE-UNIVERSITY,50 - 54,2
2006,MF,PRIMARY,30 - 34,7
2006,F,PRIMARY,30 - 34,6
2006,MF,SECONDARY,30 - 34,16
2006,F,SECONDARY,30 - 34,7
2006,MF,PRE-UNIVERSITY,30 - 34,5
2006,F,PRE-UNIVERSITY,30 - 34,2
2006,MF,PRIMARY,35 - 39,60
2006,F,PRIMARY,35 - 39,40
2006,MF,SECONDARY,35 - 39,64
2006,F,SECONDARY,35 - 39,27
2006,MF,PRE-UNIVERSITY,35 - 39,9
2006,F,PRE-UNIVERSITY,35 - 39,4
2006,MF,PRIMARY,40 - 44,41
2006,F,PRIMARY,40 - 44,30
2006,MF,SECONDARY,40 - 44,45
2006,F,SECONDARY,40 - 44,29
2006,MF,PRE-UNIVERSITY,40 - 44,3
2006,F,PRE-UNIVERSITY,40 - 44,1
2006,MF,PRIMARY,45 - 49,56
2006,F,PRIMARY,45 - 49,44
2006,MF,SECONDARY,45 - 49,53
2006,F,SECONDARY,45 - 49,35
2006,MF,PRE-UNIVERSITY,45 - 49,6
2006,F,PRE-UNIVERSITY,45 - 49,4
2006,MF,PRIMARY,50 - 54,11
2006,F,PRIMARY,50 - 54,9
2006,MF,SECONDARY,50 - 54,27
2006,F,SECONDARY,50 - 54,18
2006,MF,PRE-UNIVERSITY,50 - 54,2
2006,F,PRE-UNIVERSITY,50 - 54,2
2007,MF,PRIMARY,30 - 34,9
2007,F,PRIMARY,30 - 34,7
2007,MF,SECONDARY,30 - 34,13
2007,F,SECONDARY,30 - 34,6
2007,MF,PRE-UNIVERSITY,30 - 34,7
2007,F,PRE-UNIVERSITY,30 - 34,2
2007,MF,PRIMARY,35 - 39,58
2007,F,PRIMARY,35 - 39,39
2007,MF,SECONDARY,35 - 39,60
2007,F,SECONDARY,35 - 39,23
2007,MF,PRE-UNIVERSITY,35 - 39,8
2007,F,PRE-UNIVERSITY,35 - 39,3
2007,MF,PRIMARY,40 - 44,42
2007,F,PRIMARY,40 - 44,29
2007,MF,SECONDARY,40 - 44,44
2007,F,SECONDARY,40 - 44,26
2007,MF,PRE-UNIVERSITY,40 - 44,6
2007,F,PRE-UNIVERSITY,40 - 44,3
2007,MF,PRIMARY,45 - 49,57
2007,F,PRIMARY,45 - 49,44
2007,MF,SECONDARY,45 - 49,59
2007,F,SECONDARY,45 - 49,42
2007,MF,PRE-UNIVERSITY,45 - 49,7
2007,F,PRE-UNIVERSITY,45 - 49,5
2007,MF,PRIMARY,50 - 54,16
2007,F,PRIMARY,50 - 54,12
2007,MF,SECONDARY,50 - 54,26
2007,F,SECONDARY,50 - 54,18
2007,MF,PRE-UNIVERSITY,50 - 54,0
2007,F,PRE-UNIVERSITY,50 - 54,0
2008,MF,PRIMARY,30 - 34,7
2008,F,PRIMARY,30 - 34,3
2008,MF,SECONDARY,30 - 34,11
2008,F,SECONDARY,30 - 34,7
2008,MF,PRE-UNIVERSITY,30 - 34,2
2008,F,PRE-UNIVERSITY,30 - 34,1
2008,MF,PRIMARY,35 - 39,53
2008,F,PRIMARY,35 - 39,36
2008,MF,SECONDARY,35 - 39,50
2008,F,SECONDARY,35 - 39,22
2008,MF,PRE-UNIVERSITY,35 - 39,13
2008,F,PRE-UNIVERSITY,35 - 39,7
2008,MF,PRIMARY,40 - 44,50
2008,F,PRIMARY,40 - 44,39
2008,MF,SECONDARY,40 - 44,46
2008,F,SECONDARY,40 - 44,22
2008,MF,PRE-UNIVERSITY,40 - 44,5
2008,F,PRE-UNIVERSITY,40 - 44,2
2008,MF,PRIMARY,45 - 49,53
2008,F,PRIMARY,45 - 49,38
2008,MF,SECONDARY,45 - 49,62
2008,F,SECONDARY,45 - 49,45
2008,MF,PRE-UNIVERSITY,45 - 49,9
2008,F,PRE-UNIVERSITY,45 - 49,5
2008,MF,PRIMARY,50 - 54,25
2008,F,PRIMARY,50 - 54,20
2008,MF,SECONDARY,50 - 54,31
2008,F,SECONDARY,50 - 54,21
2008,MF,PRE-UNIVERSITY,50 - 54,0
2008,F,PRE-UNIVERSITY,50 - 54,0
2009,MF,PRIMARY,30 - 34,9
2009,F,PRIMARY,30 - 34,6
2009,MF,SECONDARY,30 - 34,9
2009,F,SECONDARY,30 - 34,3
2009,MF,PRE-UNIVERSITY,30 - 34,1
2009,F,PRE-UNIVERSITY,30 - 34,0
2009,MF,PRIMARY,35 - 39,53
2009,F,PRIMARY,35 - 39,34
2009,MF,SECONDARY,35 - 39,58
2009,F,SECONDARY,35 - 39,28
2009,MF,PRE-UNIVERSITY,35 - 39,10
2009,F,PRE-UNIVERSITY,35 - 39,5
2009,MF,PRIMARY,40 - 44,51
2009,F,PRIMARY,40 - 44,37
2009,MF,SECONDARY,40 - 44,50
2009,F,SECONDARY,40 - 44,22
2009,MF,PRE-UNIVERSITY,40 - 44,2
2009,F,PRE-UNIVERSITY,40 - 44,3
2009,MF,PRIMARY,45 - 49,53
2009,F,PRIMARY,45 - 49,41
2009,MF,SECONDARY,45 - 49,55
2009,F,SECONDARY,45 - 49,45
2009,MF,PRE-UNIVERSITY,45 - 49,10
2009,F,PRE-UNIVERSITY,45 - 49,5
2009,MF,PRIMARY,50 - 54,32
2009,F,PRIMARY,50 - 54,24
2009,MF,SECONDARY,50 - 54,43
2009,F,SECONDARY,50 - 54,23
2009,MF,PRE-UNIVERSITY,50 - 54,0
2009,F,PRE-UNIVERSITY,50 - 54,0
2010,MF,PRIMARY,30 - 34,5
2010,F,PRIMARY,30 - 34,5
2010,MF,SECONDARY,30 - 34,9
2010,F,SECONDARY,30 - 34,3
2010,MF,PRE-UNIVERSITY,30 - 34,3
2010,F,PRE-UNIVERSITY,30 - 34,1
2010,MF,PRIMARY,35 - 39,66
2010,F,PRIMARY,35 - 39,39
2010,MF,SECONDARY,35 - 39,73
2010,F,SECONDARY,35 - 39,36
2010,MF,PRE-UNIVERSITY,35 - 39,12
2010,F,PRE-UNIVERSITY,35 - 39,8
2010,MF,PRIMARY,40 - 44,65
2010,F,PRIMARY,40 - 44,42
2010,MF,SECONDARY,40 - 44,52
2010,F,SECONDARY,40 - 44,23
2010,MF,PRE-UNIVERSITY,40 - 44,4
2010,F,PRE-UNIVERSITY,40 - 44,1
2010,MF,PRIMARY,45 - 49,40
2010,F,PRIMARY,45 - 49,30
2010,MF,SECONDARY,45 - 49,49
2010,F,SECONDARY,45 - 49,35
2010,MF,PRE-UNIVERSITY,45 - 49,8
2010,F,PRE-UNIVERSITY,45 - 49,4
2010,MF,PRIMARY,50 - 54,41
2010,F,PRIMARY,50 - 54,31
2010,MF,SECONDARY,50 - 54,47
2010,F,SECONDARY,50 - 54,30
2010,MF,PRE-UNIVERSITY,50 - 54,2
2010,F,PRE-UNIVERSITY,50 - 54,1
2011,MF,PRIMARY,30 - 34,6
