year,sex,level_of_school,length_of_service,no_of_vice_principals
1999,F,SECONDARY,25 - 29 YEARS,6
1999,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
1999,F,PRE-UNIVERSITY,25 - 29 YEARS,0
1999,MF,PRIMARY,30 YEARS & ABOVE,76
1999,F,PRIMARY,30 YEARS & ABOVE,47
1999,MF,SECONDARY,30 YEARS & ABOVE,8
1999,F,SECONDARY,30 YEARS & ABOVE,5
1999,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,3
1999,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2000,MF,PRIMARY,0 - 9 YEARS,7
2000,F,PRIMARY,0 - 9 YEARS,4
2000,MF,SECONDARY,0 - 9 YEARS,15
2000,F,SECONDARY,0 - 9 YEARS,8
2000,MF,PRE-UNIVERSITY,0 - 9 YEARS,1
2000,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2000,MF,PRIMARY,10 - 14 YEARS,23
2000,F,PRIMARY,10 - 14 YEARS,17
2000,MF,SECONDARY,10 - 14 YEARS,37
2000,F,SECONDARY,10 - 14 YEARS,25
2000,MF,PRE-UNIVERSITY,10 - 14 YEARS,5
2000,F,PRE-UNIVERSITY,10 - 14 YEARS,3
2000,MF,PRIMARY,15 - 19 YEARS,35
2000,F,PRIMARY,15 - 19 YEARS,25
2000,MF,SECONDARY,15 - 19 YEARS,39
2000,F,SECONDARY,15 - 19 YEARS,30
2000,MF,PRE-UNIVERSITY,15 - 19 YEARS,4
2000,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2000,MF,PRIMARY,20 - 24 YEARS,16
2000,F,PRIMARY,20 - 24 YEARS,14
2000,MF,SECONDARY,20 - 24 YEARS,24
2000,F,SECONDARY,20 - 24 YEARS,15
2000,MF,PRE-UNIVERSITY,20 - 24 YEARS,2
2000,F,PRE-UNIVERSITY,20 - 24 YEARS,2
2000,MF,PRIMARY,25 - 29 YEARS,14
2000,F,PRIMARY,25 - 29 YEARS,11
2000,MF,SECONDARY,25 - 29 YEARS,12
2000,F,SECONDARY,25 - 29 YEARS,9
2000,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2000,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2000,MF,PRIMARY,30 YEARS & ABOVE,65
2000,F,PRIMARY,30 YEARS & ABOVE,42
2000,MF,SECONDARY,30 YEARS & ABOVE,11
2000,F,SECONDARY,30 YEARS & ABOVE,7
2000,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,3
