month,level_1,level_2,total_loans
2010-10,Business,Professional and Private Individuals - Business Purposes,4254.5
2010-10,Business,Others,53270.6
2010-10,Consumer,Housing and Bridging Loans,112215.5
2010-10,Consumer,Professional and Private Individuals - Car Loans,11699.7
2010-10,Consumer,Professional and Private Individuals - Credit Cards,6355.1
2010-10,Consumer,Professional and Private Individuals - Share Financing,1463.5
2010-10,Consumer,Professional and Private Individuals - Others,46011.6
2010-11,Business,"Agriculture, Mining and Quarrying",11957.9
2010-11,Business,Manufacturing,54837.2
2010-11,Business,Building and Construction,68096.5
2010-11,Business,General Commerce,67747.2
2010-11,Business,"Transport, Storage and Communication",71568.9
2010-11,Business,Business Services,9027.9
2010-11,Business,Financial Institutions,115203.7
2010-11,Business,Professional and Private Individuals - Business Purposes,4313.1
2010-11,Business,Others,54388
2010-11,Consumer,Housing and Bridging Loans,113994.1
2010-11,Consumer,Professional and Private Individuals - Car Loans,11711
2010-11,Consumer,Professional and Private Individuals - Credit Cards,6689.4
2010-11,Consumer,Professional and Private Individuals - Share Financing,1464.1
2010-11,Consumer,Professional and Private Individuals - Others,46829.7
2010-12,Business,"Agriculture, Mining and Quarrying",12203.9
2010-12,Business,Manufacturing,53926.4
2010-12,Business,Building and Construction,68152.2
2010-12,Business,General Commerce,68844.6
2010-12,Business,"Transport, Storage and Communication",71046.2
2010-12,Business,Business Services,8745.7
2010-12,Business,Financial Institutions,116510.1
2010-12,Business,Professional and Private Individuals - Business Purposes,4317.3
2010-12,Business,Others,54788.2
2010-12,Consumer,Housing and Bridging Loans,115424.5
2010-12,Consumer,Professional and Private Individuals - Car Loans,11678.5
2010-12,Consumer,Professional and Private Individuals - Credit Cards,6888.9
2010-12,Consumer,Professional and Private Individuals - Share Financing,1579.2
2010-12,Consumer,Professional and Private Individuals - Others,46950.1
2011-01,Business,"Agriculture, Mining and Quarrying",12427.5
2011-01,Business,Manufacturing,56453.8
2011-01,Business,Building and Construction,67863.5
2011-01,Business,General Commerce,73898.1
2011-01,Business,"Transport, Storage and Communication",70763.3
2011-01,Business,Business Services,8690.8
2011-01,Business,Financial Institutions,119110.7
2011-01,Business,Professional and Private Individuals - Business Purposes,4331.9
2011-01,Business,Others,60081.1
2011-01,Consumer,Housing and Bridging Loans,117256.6
2011-01,Consumer,Professional and Private Individuals - Car Loans,11643.4
2011-01,Consumer,Professional and Private Individuals - Credit Cards,6831.5
2011-01,Consumer,Professional and Private Individuals - Share Financing,1622.2
2011-01,Consumer,Professional and Private Individuals - Others,45574.5
2011-02,Business,"Agriculture, Mining and Quarrying",13567.3
2011-02,Business,Manufacturing,56587.9
2011-02,Business,Building and Construction,68855.7
2011-02,Business,General Commerce,77170.2
2011-02,Business,"Transport, Storage and Communication",70215.9
2011-02,Business,Business Services,8788
2011-02,Business,Financial Institutions,119920.6
2011-02,Business,Professional and Private Individuals - Business Purposes,4489.5
2011-02,Business,Others,59429.9
2011-02,Consumer,Housing and Bridging Loans,118360.3
2011-02,Consumer,Professional and Private Individuals - Car Loans,11573
2011-02,Consumer,Professional and Private Individuals - Credit Cards,6789.1
2011-02,Consumer,Professional and Private Individuals - Share Financing,1622.2
2011-02,Consumer,Professional and Private Individuals - Others,46290.9
2011-03,Business,"Agriculture, Mining and Quarrying",14214
2011-03,Business,Manufacturing,56300.7
2011-03,Business,Building and Construction,69132
2011-03,Business,General Commerce,77411.9
2011-03,Business,"Transport, Storage and Communication",71033.7
2011-03,Business,Business Services,8962.7
2011-03,Business,Financial Institutions,122089.7
2011-03,Business,Professional and Private Individuals - Business Purposes,4792.4
2011-03,Business,Others,63426.2
2011-03,Consumer,Housing and Bridging Loans,119796
2011-03,Consumer,Professional and Private Individuals - Car Loans,11546
2011-03,Consumer,Professional and Private Individuals - Credit Cards,6718.1
2011-03,Consumer,Professional and Private Individuals - Share Financing,1579.5
2011-03,Consumer,Professional and Private Individuals - Others,47214.5
2011-04,Business,"Agriculture, Mining and Quarrying",14237.3
2011-04,Business,Manufacturing,56282.8
2011-04,Business,Building and Construction,70962.1
2011-04,Business,General Commerce,79887
2011-04,Business,"Transport, Storage and Communication",70438.3
2011-04,Business,Business Services,9988
2011-04,Business,Financial Institutions,121247.7
2011-04,Business,Professional and Private Individuals - Business Purposes,5464.8
2011-04,Business,Others,63138.5
2011-04,Consumer,Housing and Bridging Loans,121204.9
2011-04,Consumer,Professional and Private Individuals - Car Loans,11526.8
2011-04,Consumer,Professional and Private Individuals - Credit Cards,6779.1
2011-04,Consumer,Professional and Private Individuals - Share Financing,1652.4
2011-04,Consumer,Professional and Private Individuals - Others,47353.4
2011-05,Business,"Agriculture, Mining and Quarrying",15181.1
2011-05,Business,Manufacturing,58183.6
2011-05,Business,Building and Construction,72062
2011-05,Business,General Commerce,82664.4
2011-05,Business,"Transport, Storage and Communication",73167
2011-05,Business,Business Services,10177.8
2011-05,Business,Financial Institutions,121365.7
2011-05,Business,Professional and Private Individuals - Business Purposes,5741.6
2011-05,Business,Others,65320.5
2011-05,Consumer,Housing and Bridging Loans,122891.5
2011-05,Consumer,Professional and Private Individuals - Car Loans,11504.2
2011-05,Consumer,Professional and Private Individuals - Credit Cards,6879.3
2011-05,Consumer,Professional and Private Individuals - Share Financing,1648.5
2011-05,Consumer,Professional and Private Individuals - Others,48942
2011-06,Business,"Agriculture, Mining and Quarrying",14620.7
2011-06,Business,Manufacturing,59656.6
2011-06,Business,Building and Construction,70795.9
2011-06,Business,General Commerce,82298
2011-06,Business,"Transport, Storage and Communication",72953.4
2011-06,Business,Business Services,9830.8
2011-06,Business,Financial Institutions,126957.1
2011-06,Business,Professional and Private Individuals - Business Purposes,5773.3
2011-06,Business,Others,69576.2
2011-06,Consumer,Housing and Bridging Loans,124493.8
2011-06,Consumer,Professional and Private Individuals - Car Loans,11524.2
2011-06,Consumer,Professional and Private Individuals - Credit Cards,7109.3
2011-06,Consumer,Professional and Private Individuals - Share Financing,1577.9
2011-06,Consumer,Professional and Private Individuals - Others,49985.6
2011-07,Business,"Agriculture, Mining and Quarrying",14749.2
2011-07,Business,Manufacturing,59505.2
2011-07,Business,Building and Construction,72483.8
2011-07,Business,General Commerce,85040.1
2011-07,Business,"Transport, Storage and Communication",72921.4
2011-07,Business,Business Services,10085.8
2011-07,Business,Financial Institutions,130438.6
2011-07,Business,Professional and Private Individuals - Business Purposes,5751.4
2011-07,Business,Others,71452.7
2011-07,Consumer,Housing and Bridging Loans,126081.1
2011-07,Consumer,Professional and Private Individuals - Car Loans,11482.2
2011-07,Consumer,Professional and Private Individuals - Credit Cards,7086
2011-07,Consumer,Professional and Private Individuals - Share Financing,1562.4
2011-07,Consumer,Professional and Private Individuals - Others,50581.6
2011-08,Business,"Agriculture, Mining and Quarrying",15521.5
2011-08,Business,Manufacturing,60810.8
2011-08,Business,Building and Construction,75571.4
2011-08,Business,General Commerce,88640.1
2011-08,Business,"Transport, Storage and Communication",74224.5
2011-08,Business,Business Services,10856.9
2011-08,Business,Financial Institutions,131688.1
2011-08,Business,Professional and Private Individuals - Business Purposes,6780.9
2011-08,Business,Others,74178.3
2011-08,Consumer,Housing and Bridging Loans,128134.2
2011-08,Consumer,Professional and Private Individuals - Car Loans,11440.4
2011-08,Consumer,Professional and Private Individuals - Credit Cards,7149.3
2011-08,Consumer,Professional and Private Individuals - Share Financing,1368.4
2011-08,Consumer,Professional and Private Individuals - Others,51264.8
2011-09,Business,"Agriculture, Mining and Quarrying",17246.5
2011-09,Business,Manufacturing,66665.3
2011-09,Business,Building and Construction,76833.3
2011-09,Business,General Commerce,97505.6
2011-09,Business,"Transport, Storage and Communication",79999.4
2011-09,Business,Business Services,11148.9
2011-09,Business,Financial Institutions,135780.9
2011-09,Business,Professional and Private Individuals - Business Purposes,7342.6
2011-09,Business,Others,81400.6
2011-09,Consumer,Housing and Bridging Loans,130007.6
2011-09,Consumer,Professional and Private Individuals - Car Loans,11417.1
2011-09,Consumer,Professional and Private Individuals - Credit Cards,7304.4
2011-09,Consumer,Professional and Private Individuals - Share Financing,1449.1
2011-09,Consumer,Professional and Private Individuals - Others,53610.8
2011-10,Business,"Agriculture, Mining and Quarrying",18542.9
2011-10,Business,Manufacturing,64597.9
2011-10,Business,Building and Construction,76502
2011-10,Business,General Commerce,96707
2011-10,Business,"Transport, Storage and Communication",77558.6
2011-10,Business,Business Services,10650.7
2011-10,Business,Financial Institutions,133597.3
2011-10,Business,Professional and Private Individuals - Business Purposes,4639.4
2011-10,Business,Others,78172
2011-10,Consumer,Housing and Bridging Loans,131450.5
2011-10,Consumer,Professional and Private Individuals - Car Loans,11388.1
2011-10,Consumer,Professional and Private Individuals - Credit Cards,7413.1
2011-10,Consumer,Professional and Private Individuals - Share Financing,1377.5
2011-10,Consumer,Professional and Private Individuals - Others,51198.9
2011-11,Business,"Agriculture, Mining and Quarrying",19561.1
2011-11,Business,Manufacturing,66782.1
2011-11,Business,Building and Construction,78688.7
2011-11,Business,General Commerce,101522.4
2011-11,Business,"Transport, Storage and Communication",81352.5
2011-11,Business,Business Services,11505.4
2011-11,Business,Financial Institutions,136636.4
2011-11,Business,Professional and Private Individuals - Business Purposes,5192.5
2011-11,Business,Others,80477.6
2011-11,Consumer,Housing and Bridging Loans,132885.3
2011-11,Consumer,Professional and Private Individuals - Car Loans,11382.4
2011-11,Consumer,Professional and Private Individuals - Credit Cards,7709.7
2011-11,Consumer,Professional and Private Individuals - Share Financing,1441
2011-11,Consumer,Professional and Private Individuals - Others,53224.2
2011-12,Business,"Agriculture, Mining and Quarrying",20912.8
2011-12,Business,Manufacturing,68425.5
2011-12,Business,Building and Construction,81871.3
2011-12,Business,General Commerce,98417.1
2011-12,Business,"Transport, Storage and Communication",82170.4
2011-12,Business,Business Services,10732.1
2011-12,Business,Financial Institutions,138979.8
2011-12,Business,Professional and Private Individuals - Business Purposes,5619.7
2011-12,Business,Others,77695.7
2011-12,Consumer,Housing and Bridging Loans,134513.5
2011-12,Consumer,Professional and Private Individuals - Car Loans,12743.9
2011-12,Consumer,Professional and Private Individuals - Credit Cards,7881.6
2011-12,Consumer,Professional and Private Individuals - Share Financing,1463.6
2011-12,Consumer,Professional and Private Individuals - Others,55020.1
2012-01,Business,"Agriculture, Mining and Quarrying",21084.9
2012-01,Business,Manufacturing,67353.4
2012-01,Business,Building and Construction,83118.5
2012-01,Business,General Commerce,97985.9
2012-01,Business,"Transport, Storage and Communication",79997.9
2012-01,Business,Business Services,10799.6
2012-01,Business,Financial Institutions,137464.4
2012-01,Business,Professional and Private Individuals - Business Purposes,5762.1
2012-01,Business,Others,71256.7
2012-01,Consumer,Housing and Bridging Loans,136054
2012-01,Consumer,Professional and Private Individuals - Car Loans,12569.2
2012-01,Consumer,Professional and Private Individuals - Credit Cards,7785.6
2012-01,Consumer,Professional and Private Individuals - Share Financing,1424.8
2012-01,Consumer,Professional and Private Individuals - Others,54656.3
2012-02,Business,"Agriculture, Mining and Quarrying",21255.3
2012-02,Business,Manufacturing,69392
2012-02,Business,Building and Construction,84160
2012-02,Business,General Commerce,100521.1
2012-02,Business,"Transport, Storage and Communication",79640.8
2012-02,Business,Business Services,10209.9
2012-02,Business,Financial Institutions,138869.3
2012-02,Business,Professional and Private Individuals - Business Purposes,6922.3
2012-02,Business,Others,72214
2012-02,Consumer,Housing and Bridging Loans,137189.5
2012-02,Consumer,Professional and Private Individuals - Car Loans,12568.9
2012-02,Consumer,Professional and Private Individuals - Credit Cards,7682
2012-02,Consumer,Professional and Private Individuals - Share Financing,1476
2012-02,Consumer,Professional and Private Individuals - Others,54709.4
2012-03,Business,"Agriculture, Mining and Quarrying",22788.6
2012-03,Business,Manufacturing,69243.2
2012-03,Business,Building and Construction,84869.3
2012-03,Business,General Commerce,103868.7
2012-03,Business,"Transport, Storage and Communication",78573.9
2012-03,Business,Business Services,10594.5
2012-03,Business,Financial Institutions,142792.3
2012-03,Business,Professional and Private Individuals - Business Purposes,7111.6
2012-03,Business,Others,73452.8
2012-03,Consumer,Housing and Bridging Loans,138212.9
2012-03,Consumer,Professional and Private Individuals - Car Loans,12597.9
2012-03,Consumer,Professional and Private Individuals - Credit Cards,7709.1
2012-03,Consumer,Professional and Private Individuals - Share Financing,1489.3
2012-03,Consumer,Professional and Private Individuals - Others,56562.3
2012-04,Business,"Agriculture, Mining and Quarrying",21044.8
2012-04,Business,Manufacturing,69940.2
2012-04,Business,Building and Construction,85791.2
2012-04,Business,General Commerce,101327.6
2012-04,Business,"Transport, Storage and Communication",78278.7
2012-04,Business,Business Services,10785.5
2012-04,Business,Financial Institutions,138443
2012-04,Business,Professional and Private Individuals - Business Purposes,7412.1
2012-04,Business,Others,76305.6
2012-04,Consumer,Housing and Bridging Loans,139764.6
2012-04,Consumer,Professional and Private Individuals - Car Loans,12597.4
2012-04,Consumer,Professional and Private Individuals - Credit Cards,7764.9
2012-04,Consumer,Professional and Private Individuals - Share Financing,1358.3
2012-04,Consumer,Professional and Private Individuals - Others,56644.3
2012-05,Business,"Agriculture, Mining and Quarrying",22056.5
2012-05,Business,Manufacturing,73566.3
2012-05,Business,Building and Construction,86628.1
2012-05,Business,General Commerce,108203.2
2012-05,Business,"Transport, Storage and Communication",81633.1
2012-05,Business,Business Services,10108.8
2012-05,Business,Financial Institutions,139467.5
2012-05,Business,Professional and Private Individuals - Business Purposes,7803.5
2012-05,Business,Others,78354.3
2012-05,Consumer,Housing and Bridging Loans,141098.4
2012-05,Consumer,Professional and Private Individuals - Car Loans,12605.3
2012-05,Consumer,Professional and Private Individuals - Credit Cards,7891
2012-05,Consumer,Professional and Private Individuals - Share Financing,1302
2012-05,Consumer,Professional and Private Individuals - Others,58658.2
2012-06,Business,"Agriculture, Mining and Quarrying",21713.5
2012-06,Business,Manufacturing,76618
2012-06,Business,Building and Construction,87257.9
2012-06,Business,General Commerce,110322.5
2012-06,Business,"Transport, Storage and Communication",80846.2
2012-06,Business,Business Services,10081
2012-06,Business,Financial Institutions,141259.9
2012-06,Business,Professional and Private Individuals - Business Purposes,7841.4
2012-06,Business,Others,77442.1
2012-06,Consumer,Housing and Bridging Loans,143604.2
2012-06,Consumer,Professional and Private Individuals - Car Loans,12624.1
2012-06,Consumer,Professional and Private Individuals - Credit Cards,8161.9
2012-06,Consumer,Professional and Private Individuals - Share Financing,1248
2012-06,Consumer,Professional and Private Individuals - Others,58460.9
2012-07,Business,"Agriculture, Mining and Quarrying",21053.4
2012-07,Business,Manufacturing,76000.2
2012-07,Business,Building and Construction,87940.7
2012-07,Business,General Commerce,108920.9
2012-07,Business,"Transport, Storage and Communication",79023
2012-07,Business,Business Services,9984.5
2012-07,Business,Financial Institutions,141392.3
2012-07,Business,Professional and Private Individuals - Business Purposes,8224.5
2012-07,Business,Others,76913.7
2012-07,Consumer,Housing and Bridging Loans,145385.4
2012-07,Consumer,Professional and Private Individuals - Car Loans,12634
2012-07,Consumer,Professional and Private Individuals - Credit Cards,8131.4
2012-07,Consumer,Professional and Private Individuals - Share Financing,1042.9
2012-07,Consumer,Professional and Private Individuals - Others,60076.3
2012-08,Business,"Agriculture, Mining and Quarrying",22582.9
2012-08,Business,Manufacturing,79682.3
2012-08,Business,Building and Construction,87907
2012-08,Business,General Commerce,111158.1
2012-08,Business,"Transport, Storage and Communication",79311.6
2012-08,Business,Business Services,10448.8
2012-08,Business,Financial Institutions,145016.3
2012-08,Business,Professional and Private Individuals - Business Purposes,8332.8
2012-08,Business,Others,77519.5
2012-08,Consumer,Housing and Bridging Loans,147413.4
2012-08,Consumer,Professional and Private Individuals - Car Loans,12629.2
2012-08,Consumer,Professional and Private Individuals - Credit Cards,8217.4
2012-08,Consumer,Professional and Private Individuals - Share Financing,1056.8
2012-08,Consumer,Professional and Private Individuals - Others,61045.9
2012-09,Business,"Agriculture, Mining and Quarrying",21642.4
2012-09,Business,Manufacturing,77168.9
2012-09,Business,Building and Construction,88932.6
2012-09,Business,General Commerce,111561.8
2012-09,Business,"Transport, Storage and Communication",77571
2012-09,Business,Business Services,9481.4
2012-09,Business,Financial Institutions,147960.6
2012-09,Business,Professional and Private Individuals - Business Purposes,8607.2
2012-09,Business,Others,76982.5
2012-09,Consumer,Housing and Bridging Loans,149108.1
2012-09,Consumer,Professional and Private Individuals - Car Loans,12595.3
2012-09,Consumer,Professional and Private Individuals - Credit Cards,8439.9
2012-09,Consumer,Professional and Private Individuals - Share Financing,1099.7
2012-09,Consumer,Professional and Private Individuals - Others,61816.9
2012-10,Business,"Agriculture, Mining and Quarrying",21944.7
2012-10,Business,Manufacturing,77180.4
2012-10,Business,Building and Construction,90034.2
2012-10,Business,General Commerce,111339.6
2012-10,Business,"Transport, Storage and Communication",78023.7
2012-10,Business,Business Services,9422
2012-10,Business,Financial Institutions,150688.2
2012-10,Business,Professional and Private Individuals - Business Purposes,8658.5
2012-10,Business,Others,76956.7
2012-10,Consumer,Housing and Bridging Loans,151411.3
2012-10,Consumer,Professional and Private Individuals - Car Loans,12582.4
2012-10,Consumer,Professional and Private Individuals - Credit Cards,8450.9
2012-10,Consumer,Professional and Private Individuals - Share Financing,1092.9
2012-10,Consumer,Professional and Private Individuals - Others,63088
2012-11,Business,"Agriculture, Mining and Quarrying",22915.2
2012-11,Business,Manufacturing,78713.2
2012-11,Business,Building and Construction,91371
2012-11,Business,General Commerce,111648.6
2012-11,Business,"Transport, Storage and Communication",77384.5
2012-11,Business,Business Services,9370
2012-11,Business,Financial Institutions,149557.2
2012-11,Business,Professional and Private Individuals - Business Purposes,8590.9
2012-11,Business,Others,77355.7
2012-11,Consumer,Housing and Bridging Loans,153730.6
2012-11,Consumer,Professional and Private Individuals - Car Loans,12551.2
2012-11,Consumer,Professional and Private Individuals - Credit Cards,8746.4
2012-11,Consumer,Professional and Private Individuals - Share Financing,1067.5
2012-11,Consumer,Professional and Private Individuals - Others,63805
2012-12,Business,"Agriculture, Mining and Quarrying",21680.4
2012-12,Business,Manufacturing,74807
2012-12,Business,Building and Construction,93386.2
2012-12,Business,General Commerce,114712.2
2012-12,Business,"Transport, Storage and Communication",78067.7
2012-12,Business,Business Services,9803.7
2012-12,Business,Financial Institutions,153641.5
2012-12,Business,Professional and Private Individuals - Business Purposes,8193.5
2012-12,Business,Others,82884.2
2012-12,Consumer,Housing and Bridging Loans,155016.7
2012-12,Consumer,Professional and Private Individuals - Car Loans,12523.5
2012-12,Consumer,Professional and Private Individuals - Credit Cards,8963.9
2012-12,Consumer,Professional and Private Individuals - Share Financing,1099.7
2012-12,Consumer,Professional and Private Individuals - Others,64413.1
2013-01,Business,"Agriculture, Mining and Quarrying",21569.8
2013-01,Business,Manufacturing,78346.7
2013-01,Business,Building and Construction,94863.3
2013-01,Business,General Commerce,120611.9
2013-01,Business,"Transport, Storage and Communication",79598.2
2013-01,Business,Business Services,9947.2
2013-01,Business,Financial Institutions,160557
2013-01,Business,Professional and Private Individuals - Business Purposes,8796.5
2013-01,Business,Others,86077.7
2013-01,Consumer,Housing and Bridging Loans,157165.5
2013-01,Consumer,Professional and Private Individuals - Car Loans,12497.8
2013-01,Consumer,Professional and Private Individuals - Credit Cards,8846
2013-01,Consumer,Professional and Private Individuals - Share Financing,1277.8
2013-01,Consumer,Professional and Private Individuals - Others,65660.2
2013-02,Business,"Agriculture, Mining and Quarrying",22852.9
2013-02,Business,Manufacturing,80143.2
2013-02,Business,Building and Construction,97883.2
2013-02,Business,General Commerce,122224.8
2013-02,Business,"Transport, Storage and Communication",79216.1
2013-02,Business,Business Services,10265.4
2013-02,Business,Financial Institutions,161298.9
2013-02,Business,Professional and Private Individuals - Business Purposes,8735
2013-02,Business,Others,87361.4
2013-02,Consumer,Housing and Bridging Loans,158139.7
2013-02,Consumer,Professional and Private Individuals - Car Loans,12434
2013-02,Consumer,Professional and Private Individuals - Credit Cards,8852.5
2013-02,Consumer,Professional and Private Individuals - Share Financing,1339.5
2013-02,Consumer,Professional and Private Individuals - Others,66150.2
2013-03,Business,"Agriculture, Mining and Quarrying",23307.8
2013-03,Business,Manufacturing,87404.3
2013-03,Business,Building and Construction,99563.9
2013-03,Business,General Commerce,128544.3
2013-03,Business,"Transport, Storage and Communication",80100.3
2013-03,Business,Business Services,10064.7
2013-03,Business,Financial Institutions,159625.1
2013-03,Business,Professional and Private Individuals - Business Purposes,8918.3
2013-03,Business,Others,86978.7
2013-03,Consumer,Housing and Bridging Loans,159580.7
2013-03,Consumer,Professional and Private Individuals - Car Loans,12325.2
2013-03,Consumer,Professional and Private Individuals - Credit Cards,8722.3
2013-03,Consumer,Professional and Private Individuals - Share Financing,1337
2013-03,Consumer,Professional and Private Individuals - Others,67349.8
2013-04,Business,"Agriculture, Mining and Quarrying",23903.4
2013-04,Business,Manufacturing,88887.4
2013-04,Business,Building and Construction,101413.8
2013-04,Business,General Commerce,132437
2013-04,Business,"Transport, Storage and Communication",79573.3
2013-04,Business,Business Services,10024.5
2013-04,Business,Financial Institutions,157828.8
2013-04,Business,Professional and Private Individuals - Business Purposes,9655.1
2013-04,Business,Others,85927
2013-04,Consumer,Housing and Bridging Loans,161003.8
2013-04,Consumer,Professional and Private Individuals - Car Loans,12212.8
2013-04,Consumer,Professional and Private Individuals - Credit Cards,8778.1
2013-04,Consumer,Professional and Private Individuals - Share Financing,1381.6
2013-04,Consumer,Professional and Private Individuals - Others,67097.5
2013-05,Business,"Agriculture, Mining and Quarrying",23351.6
2013-05,Business,Manufacturing,88847.8
2013-05,Business,Building and Construction,102895.2
2013-05,Business,General Commerce,141115
2013-05,Business,"Transport, Storage and Communication",80119.8
2013-05,Business,Business Services,10265.7
2013-05,Business,Financial Institutions,162045.5
2013-05,Business,Professional and Private Individuals - Business Purposes,9928.2
2013-05,Business,Others,88486.2
2013-05,Consumer,Housing and Bridging Loans,161687.8
2013-05,Consumer,Professional and Private Individuals - Car Loans,12097.3
2013-05,Consumer,Professional and Private Individuals - Credit Cards,8919
2013-05,Consumer,Professional and Private Individuals - Share Financing,1414.2
2013-05,Consumer,Professional and Private Individuals - Others,69310.4
2013-06,Business,"Agriculture, Mining and Quarrying",23496.8
2013-06,Business,Manufacturing,89073.3
2013-06,Business,Building and Construction,104230.6
2013-06,Business,General Commerce,142469.2
2013-06,Business,"Transport, Storage and Communication",81334.4
2013-06,Business,Business Services,10284.8
2013-06,Business,Financial Institutions,158385.9
2013-06,Business,Professional and Private Individuals - Business Purposes,10196.2
2013-06,Business,Others,88973.2
2013-06,Consumer,Housing and Bridging Loans,162939.1
2013-06,Consumer,Professional and Private Individuals - Car Loans,11936.2
2013-06,Consumer,Professional and Private Individuals - Credit Cards,9216.4
2013-06,Consumer,Professional and Private Individuals - Share Financing,1432.7
2013-06,Consumer,Professional and Private Individuals - Others,69954.3
2013-07,Business,"Agriculture, Mining and Quarrying",24603.2
2013-07,Business,Manufacturing,89234.2
2013-07,Business,Building and Construction,104105.8
2013-07,Business,General Commerce,144897.9
2013-07,Business,"Transport, Storage and Communication",77820.3
2013-07,Business,Business Services,11281.7
2013-07,Business,Financial Institutions,161779.3
2013-07,Business,Professional and Private Individuals - Business Purposes,10517.8
2013-07,Business,Others,91385.6
2013-07,Consumer,Housing and Bridging Loans,164338.8
2013-07,Consumer,Professional and Private Individuals - Car Loans,11697.9
2013-07,Consumer,Professional and Private Individuals - Credit Cards,9122.7
2013-07,Consumer,Professional and Private Individuals - Share Financing,1462.4
2013-07,Consumer,Professional and Private Individuals - Others,70325.4
2013-08,Business,"Agriculture, Mining and Quarrying",25934.7
2013-08,Business,Manufacturing,87216.5
2013-08,Business,Building and Construction,105741.2
2013-08,Business,General Commerce,145839.8
2013-08,Business,"Transport, Storage and Communication",78872.8
2013-08,Business,Business Services,11461.3
2013-08,Business,Financial Institutions,163763.4
2013-08,Business,Professional and Private Individuals - Business Purposes,10836.5
2013-08,Business,Others,91364
2013-08,Consumer,Housing and Bridging Loans,165754.4
2013-08,Consumer,Professional and Private Individuals - Car Loans,11476.2
2013-08,Consumer,Professional and Private Individuals - Credit Cards,9240.5
2013-08,Consumer,Professional and Private Individuals - Share Financing,1490.1
2013-08,Consumer,Professional and Private Individuals - Others,70785.9
2013-09,Business,"Agriculture, Mining and Quarrying",26195
2013-09,Business,Manufacturing,85967.5
2013-09,Business,Building and Construction,106512.5
2013-09,Business,General Commerce,147852.1
2013-09,Business,"Transport, Storage and Communication",77679.2
2013-09,Business,Business Services,11717.4
2013-09,Business,Financial Institutions,169539.3
2013-09,Business,Professional and Private Individuals - Business Purposes,11294.1
2013-09,Business,Others,94232.5
2013-09,Consumer,Housing and Bridging Loans,166893.1
2013-09,Consumer,Professional and Private Individuals - Car Loans,11302.9
2013-09,Consumer,Professional and Private Individuals - Credit Cards,9331.5
2013-09,Consumer,Professional and Private Individuals - Share Financing,1462.8
2013-09,Consumer,Professional and Private Individuals - Others,72842.9
2013-10,Business,"Agriculture, Mining and Quarrying",26960
2013-10,Business,Manufacturing,84839.1
2013-10,Business,Building and Construction,107455.9
2013-10,Business,General Commerce,150457.1
2013-10,Business,"Transport, Storage and Communication",76906.7
2013-10,Business,Business Services,11741.3
2013-10,Business,Financial Institutions,171829.4
2013-10,Business,Professional and Private Individuals - Business Purposes,12211.7
2013-10,Business,Others,94073.3
2013-10,Consumer,Housing and Bridging Loans,168011.9
2013-10,Consumer,Professional and Private Individuals - Car Loans,11097.7
2013-10,Consumer,Professional and Private Individuals - Credit Cards,9438.2
2013-10,Consumer,Professional and Private Individuals - Share Financing,1344.5
2013-10,Consumer,Professional and Private Individuals - Others,76424.6
2013-11,Business,"Agriculture, Mining and Quarrying",29210.2
2013-11,Business,Manufacturing,85837.9
2013-11,Business,Building and Construction,107797.8
2013-11,Business,General Commerce,158213.1
2013-11,Business,"Transport, Storage and Communication",77706.1
2013-11,Business,Business Services,12649.8
2013-11,Business,Financial Institutions,178577.9
2013-11,Business,Professional and Private Individuals - Business Purposes,12649.2
2013-11,Business,Others,100359.6
2013-11,Consumer,Housing and Bridging Loans,168983
2013-11,Consumer,Professional and Private Individuals - Car Loans,10890
2013-11,Consumer,Professional and Private Individuals - Credit Cards,9695.8
2013-11,Consumer,Professional and Private Individuals - Share Financing,1312.3
2013-11,Consumer,Professional and Private Individuals - Others,80759.4
2013-12,Business,"Agriculture, Mining and Quarrying",29850
2013-12,Business,Manufacturing,85971.1
2013-12,Business,Building and Construction,108700.2
2013-12,Business,General Commerce,162172.8
2013-12,Business,"Transport, Storage and Communication",77234
2013-12,Business,Business Services,14880.7
2013-12,Business,Financial Institutions,180813.9
2013-12,Business,Professional and Private Individuals - Business Purposes,12601.3
2013-12,Business,Others,106872.8
2013-12,Consumer,Housing and Bridging Loans,169692.4
2013-12,Consumer,Professional and Private Individuals - Car Loans,10693.3
2013-12,Consumer,Professional and Private Individuals - Credit Cards,9941.1
2013-12,Consumer,Professional and Private Individuals - Share Financing,1315.9
2013-12,Consumer,Professional and Private Individuals - Others,81410.3
2014-01,Business,"Agriculture, Mining and Quarrying",31673.4
2014-01,Business,Manufacturing,88512.1
2014-01,Business,Building and Construction,110242.6
2014-01,Business,General Commerce,165074.7
2014-01,Business,"Transport, Storage and Communication",78266.8
2014-01,Business,Business Services,14953.1
2014-01,Business,Financial Institutions,176856.7
2014-01,Business,Professional and Private Individuals - Business Purposes,13207
2014-01,Business,Others,116584.5
2014-01,Consumer,Housing and Bridging Loans,170489.4
2014-01,Consumer,Professional and Private Individuals - Car Loans,10503.9
2014-01,Consumer,Professional and Private Individuals - Credit Cards,9700.7
2014-01,Consumer,Professional and Private Individuals - Share Financing,1309.9
2014-01,Consumer,Professional and Private Individuals - Others,83265.1
2014-02,Business,"Agriculture, Mining and Quarrying",31822.7
2014-02,Business,Manufacturing,90830.6
2014-02,Business,Building and Construction,109735.7
2014-02,Business,General Commerce,164991.2
